nom_site,arc_adresse,cp,idpw,nombre_de_borne_wifi,etat2,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d.lon,geo_point_2d.lat
GYMNASE MARIE PARADIS,11 Square Alban Satragne,75010,PW0097,1,Opérationnel,Feature,"[2.3552484281821826, 48.875453940691216]",Point,2.3552484281821826,48.875453940691216
PISCINE AUTEUIL,1 ROUTE DES LACS A PASSY,75016,PW0102,1,Opérationnel,Feature,"[2.2615674823094567, 48.85815259404038]",Point,2.2615674823094567,48.85815259404038
BERGES RIVE GAUCHE - EMMARCHEMENT,8 Port de Solférino,75007,PW0207,0,Non opérationnel,Feature,"[2.3243565700203863, 48.86141664184817]",Point,2.3243565700203863,48.86141664184817
BIBLIOTHEQUE HERGE,2 RUE DU DEPARTEMENT,75019,PW0139,1,Opérationnel,Feature,"[2.3672350140828184, 48.88501362640926]",Point,2.3672350140828184,48.88501362640926
BIBLIOTHEQUE HISTORIQUE DE LA VILLE DE PARIS (BHVP),24 Rue Pavée,75004,PW0043,3,Opérationnel,Feature,"[2.3616959043904777, 48.857065427924205]",Point,2.3616959043904777,48.857065427924205
BIBLIOTHEQUE RAINER MARIA RILKE,88 T BOULEVARD DE PORT-ROYAL,75005,PW0115,2,Opérationnel,Feature,"[2.338781673488587, 48.83930698880458]",Point,2.338781673488587,48.83930698880458
CENTRE SPORTIF SUZANNE LENGLEN - ENTREE,2 RUE LOUIS ARMAND,75015,PW0173-1,1,Opérationnel,Feature,"[2.2765763571063142, 48.833070643227764]",Point,2.2765763571063142,48.833070643227764
MAIRIE DU 9 EME,6 Rue Drouot,75009,PW0131,5,Opérationnel,Feature,"[2.3404806021508517, 48.87259160236116]",Point,2.3404806021508517,48.87259160236116
PARC DE BELLEVILLE (PARIS NATURE MAISON DE L'AIR),27 Rue Piat,75020,PW0168,0,Non opérationnel,Feature,"[2.384924750509343, 48.87160514880641]",Point,2.384924750509343,48.87160514880641
BERGES RIVE DROITE - PONT AU CHANGE,BERGE DE SEINE RIVE DROITE - VIA FERRATA,75001,PW0158,1,Opérationnel,Feature,"[2.346563042652778, 48.85751278386862]",Point,2.346563042652778,48.85751278386862
SQUARE DU CHANOINE VIOLLET,72 RUE DU MOULIN VERT,75014,PW0185,1,Opérationnel,Feature,"[2.3200964902595502, 48.83129620230284]",Point,2.3200964902595502,48.83129620230284
SQUARE FERDINAND BRUNOT,PLACE FERDINAND BRUNOT,75014,PW0065,1,Opérationnel,Feature,"[2.3267672261372168, 48.8328511609528]",Point,2.3267672261372168,48.8328511609528
SQUARE GEORGES DUHAMEL,RUE JEAN ANOUILH,75013,PW0171,1,Opérationnel,Feature,"[2.377611889269577, 48.83191582844802]",Point,2.377611889269577,48.83191582844802
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 2,23 Rue Greneta,75002,PW0036,4,Opérationnel,Feature,"[2.35054940319118, 48.8650814049341]",Point,2.35054940319118,48.8650814049341
