datetime_hour,site,nb_connexions,bytesin
2026-08-23 07:00:00,Site_000,12,544134048.19792
2026-08-23 08:00:00,Site_000,19,906785286.1026402
2026-08-23 09:00:00,Site_000,27,1201097652.3035653
2026-08-23 10:00:00,Site_000,18,868928344.3969097
2026-08-23 11:00:00,Site_000,30,1413891840.4240413
2026-08-23 12:00:00,Site_000,27,1143667277.1545115
2026-08-23 13:00:00,Site_000,24,1078427040.4622314
2026-08-23 14:00:00,Site_000,34,1620850114.2379823
2026-08-23 15:00:00,Site_000,17,673236273.7430285
2026-08-23 16:00:00,Site_000,25,1156324929.748907
2026-08-23 17:00:00,Site_000,9,407496650.36109996
2026-08-23 18:00:00,Site_000,14,652483019.9692838
2026-08-23 19:00:00,Site_000,6,210957645.7359085
2026-08-23 20:00:00,Site_000,4,234779445.65838507
2026-08-23 21:00:00,Site_000,4,146707075.77140692
2026-08-23 22:00:00,Site_000,13,635144885.5383211
2026-08-23 23:00:00,Site_000,10,443051414.85397524
2026-08-24 07:00:00,Site_000,18,792189884.1905001
2026-08-24 08:00:00,Site_000,32,1476614206.9955642
2026-08-24 09:00:00,Site_000,29,1248645732.6921952
2026-08-24 10:00:00,Site_000,36,1773884965.7224977
2026-08-24 11:00:00,Site_000,36,1940317758.1549668
2026-08-24 12:00:00,Site_000,30,1419035684.6363792
2026-08-24 13:00:00,Site_000,32,1417367326.7078087
2026-08-24 14:00:00,Site_000,44,2066898035.814089
2026-08-24 15:00:00,Site_000,31,1340093646.0375214
2026-08-24 16:00:00,Site_000,29,1419227275.81582
2026-08-24 17:00:00,Site_000,19,935912660.1093212
2026-08-24 18:00:00,Site_000,18,831043827.8350363
2026-08-24 19:00:00,Site_000,11,527466377.6295557
2026-08-24 20:00:00,Site_000,10,460896200.9308896
2026-08-24 21:00:00,Site_000,15,642897413.5690408
2026-08-24 22:00:00,Site_000,18,727829117.9610786
2026-08-24 23:00:00,Site_000,19,809904373.5100873
2026-08-25 07:00:00,Site_000,21,856202909.6708677
2026-08-25 08:00:00,Site_000,28,1146509574.804101
2026-08-25 09:00:00,Site_000,40,1836139519.5089998
2026-08-25 10:00:00,Site_000,31,1210128087.640917
2026-08-25 11:00:00,Site_000,35,1628190325.818596
2026-08-25 12:00:00,Site_000,35,1497657962.8977606
2026-08-25 13:00:00,Site_000,43,2086299189.9937677
2026-08-25 14:00:00,Site_000,43,1981493218.2110274
2026-08-25 15:00:00,Site_000,29,1346095226.5238144
2026-08-25 16:00:00,Site_000,22,978167302.0840039
2026-08-25 17:00:00,Site_000,21,1053567844.1092721
2026-08-25 18:00:00,Site_000,20,873781016.2339027
2026-08-25 19:00:00,Site_000,12,522236727.5372835
2026-08-25 20:00:00,Site_000,15,671263335.5314496
2026-08-25 21:00:00,Site_000,19,839023421.1208619
2026-08-25 22:00:00,Site_000,20,966806761.9526091
2026-08-25 23:00:00,Site_000,22,986402089.8475071
2026-08-26 07:00:00,Site_000,24,1090151067.056542
2026-08-26 08:00:00,Site_000,29,1299043953.939061
2026-08-26 09:00:00,Site_000,22,994990504.3400323
2026-08-26 10:00:00,Site_000,36,1724351810.0992255
2026-08-26 11:00:00,Site_000,36,1619313897.63431
2026-08-26 12:00:00,Site_000,33,1544988148.8845358
2026-08-26 13:00:00,Site_000,44,2058919494.7001965
2026-08-26 14:00:00,Site_000,28,1287424926.0066142
2026-08-26 15:00:00,Site_000,32,1568921155.4495997
2026-08-26 16:00:00,Site_000,19,826447030.0844619
2026-08-26 17:00:00,Site_000,15,564147195.5905558
2026-08-26 18:00:00,Site_000,14,626471583.8072857
2026-08-26 19:00:00,Site_000,14,661982939.4423889
2026-08-26 20:00:00,Site_000,15,608566763.4555258
2026-08-26 21:00:00,Site_000,20,801980709.687942
2026-08-26 22:00:00,Site_000,17,736858750.5421621
2026-08-26 23:00:00,Site_000,19,911291408.2087499
2026-08-27 07:00:00,Site_000,30,1371188477.9272785
2026-08-27 08:00:00,Site_000,32,1352498780.7613006
2026-08-27 09:00:00,Site_000,41,1585684308.4189482
